class_id,class_name,samples,correct,accuracy
1,drink,1,0,0.0
2,computer,1,0,0.0
3,before,3,0,0.0
5,go,1,1,1.0
6,clothes,1,1,1.0
7,who,1,0,0.0
8,candy,3,0,0.0
9,cousin,2,0,0.0
10,deaf,2,0,0.0
11,fine,1,0,0.0
12,help,2,1,0.5
13,no,1,0,0.0
14,thin,2,0,0.0
15,walk,1,0,0.0
16,year,2,0,0.0
17,yes,1,0,0.0
18,all,1,0,0.0
20,cool,2,0,0.0
21,finish,1,0,0.0
23,like,2,0,0.0
26,now,1,0,0.0
29,thanksgiving,1,0,0.0
30,what,3,0,0.0
31,woman,1,0,0.0
33,blue,1,0,0.0
34,bowling,1,0,0.0
35,can,1,1,1.0
36,dog,2,0,0.0
38,fish,1,0,0.0
41,hearing,1,0,0.0
42,kiss,2,0,0.0
43,language,2,0,0.0
46,shirt,2,0,0.0
47,study,1,0,0.0
48,tall,1,0,0.0
49,white,1,0,0.0
50,wrong,1,0,0.0
51,accident,2,0,0.0
53,bird,1,0,0.0
54,change,1,0,0.0
55,color,1,0,0.0
56,corn,2,0,0.0
57,cow,1,0,0.0
59,dark,2,1,0.5
60,doctor,1,0,0.0
63,forget,2,0,0.0
64,give,2,0,0.0
65,last,2,0,0.0
66,meet,1,0,0.0
68,pizza,2,0,0.0
69,play,2,1,0.5
71,secretary,1,0,0.0
72,short,1,0,0.0
73,time,1,0,0.0
74,want,1,0,0.0
75,work,1,0,0.0
76,africa,1,0,0.0
77,basketball,1,0,0.0
78,birthday,1,0,0.0
79,brown,1,0,0.0
80,but,2,0,0.0
81,cheat,1,1,1.0
82,city,1,0,0.0
85,full,1,0,0.0
86,how,2,1,0.5
88,letter,1,1,1.0
89,medicine,1,1,1.0
93,pull,1,0,0.0
94,purple,1,0,0.0
95,right,2,0,0.0
96,same,1,0,0.0
98,tell,1,0,0.0
